	x	Na	Nd	V	n	p	Ey	Ex
70	0.17500000000000002	3e+23	0.0	-1.6264835333342578	6.77086033309063e-32	2.9998456667739023e+23	251.9523142002485	-1.78815739841863e-13
71	0.1775	3e+23	0.0	-1.6264838800005545	6.770769319854378e-32	2.9998858800643415e+23	186.27740772014954	-1.328814387051181e-13
72	0.18	3e+23	0.0	-1.6264842266668513	6.770678306618126e-32	2.9999260933547804e+23	120.60250124004986	-8.69471375683727e-14
73	0.1825	3e+23	0.0	-1.6264844533332763	6.770620840012757e-32	2.999951493327687e+23	79.13751133603913	-5.823819939124012e-14
74	0.185	3e+23	0.0	-1.6264845599998292	6.770596920038272e-32	2.9999620799830612e+23	61.88243800811735	-4.6754624173720364e-14
75	0.1875	3e+23	0.0	-1.6264846666663821	6.770573000063786e-32	2.9999726666384354e+23	44.62736468019558	-3.5271048956200604e-14
76	0.19	3e+23	0.0	-1.626484773332935	6.770549080089301e-32	2.9999832532938096e+23	27.372291352273812	-2.3787473738680838e-14
77	0.1925	3e+23	0.0	-1.6264848199998934	6.770538400025066e-32	2.9999879799889067e+23	19.658403133701334	-1.777907065322709e-14
78	0.195	3e+23	0.0	-1.62648484666656	6.7705321333584e-32	2.99999075332224e+23	15.12497780036798	-1.3595763879893741e-14
79	0.1975	3e+23	0.0	-1.6264848733332267	6.770525866691733e-32	2.999993526655573e+23	10.591552467034626	-9.41245710656039e-15
80	0.2	3e+23	0.0	-1.6264848999998933	6.770519600025067e-32	2.9999962999889065e+23	6.058127133701269	-5.229150333227041e-15
81	0.2025	3e+23	0.0	-1.6264849	6.770517946669752e-32	2.999997019998656e+23	4.867051543316133	-3.937232414225179e-15
82	0.20500000000000002	3e+23	0.0	-1.6264849	6.770516293332892e-32	2.999997740000192e+23	3.675989322383398	-2.6453260608249618e-15
83	0.20750000000000002	3e+23	0.0	-1.6264849	6.770514639996031e-32	2.999998460001728e+23	2.4849271014506633	-1.3534197074247445e-15
84	0.21	3e+23	0.0	-1.6264849	6.770513286664853e-32	2.9999990466674134e+23	1.513402742300706	-3.7936842664104543e-16
85	0.2125	3e+23	0.0	-1.6264849	6.770512833331519e-32	2.99999923333408e+23	1.2004779183007046	-3.5886202130771204e-16
86	0.215	3e+23	0.0	-1.6264849	6.770512379998186e-32	2.9999994200007465e+23	0.8875530943007032	-3.3835561597437865e-16
87	0.2175	3e+23	0.0	-1.6264849	6.770511926664852e-32	2.9999996066674132e+23	0.5746282703007017	-3.178492106410452e-16
88	0.22	3e+23	0.0	-1.6264849	6.770511646666296e-32	2.9999997266668516e+23	0.3770597689913817	-2.774770974433217e-16
89	0.2225	3e+23	0.0	-1.6264849	6.770511539999744e-32	2.999999780000128e+23	0.29484574468634106	-2.1723959422999184e-16
90	0.225	3e+23	0.0	-1.6264849	6.77051143333319e-32	2.9999998333334046e+23	0.2126317203813004	-1.57002091016662e-16
91	0.2275	3e+23	0.0	-1.6264849	6.770511326666638e-32	2.999999886666681e+23	0.13041769607625975	-9.676458780333214e-17
92	0.23	3e+23	0.0	-1.6264849	6.770511280000021e-32	2.9999999199999786e+23	0.09366424847993753	-6.944944327281989e-17
93	0.2325	3e+23	0.0	-1.6264849	6.770511253333382e-32	2.999999946666617e+23	0.07206432645318771	-5.310841830324654e-17
